Date,Category,Supplier,Description,Amount (AUD),GST (AUD),Notes
21/08/2026,Petrol,BP Nicholls,"Diesel — 54.68 litre at $2.649/L",144.85,13.17,"GST-inclusive item; receipt shows GST amount"
24/08/2026,Accommodation,Westside Motor Inn,"Twin room accommodation; receipt shows $130 charge and balance $0.00",130,23.18,"GST stated; transaction details include reversals/payments"
25/08/2026,Food,Mursel Fine Food Pty Ltd,"Food purchase; card surcharge $0.33",23.33,,"Receipt shows $23.00 purchase plus $0.33 surcharge; GST not separately stated"
26/08/2026,Petrol,BP Hume,"Diesel — 45.99 litre",117.06,10.64,"GST shown separately"
26/08/2026,Food,McDonald's Croydon,"Large flat white; extra hot; soy milk",6.2,0.56,"Duplicate receipt marked; GST included in total"
26/08/2026,Food,McDonald's Moss Vale,"Large flat white; extra hot; soy milk",6.2,0.56,"GST included in total"
27/08/2026,Food,Coles Supermarkets Australia Pty Ltd — CS Albury,"6 grocery items",13.55,0.25,"GST included in total"
27/08/2026,Accommodation,Elm Court Motel,"Accommodation, Room 28",110,10,"GST charged stated on invoice"
27/08/2026,Food,Ken's Kitchen,"Medium lunch box; card surcharge $0.18",14.98,1.35,"GST shown separately"
27/08/2026,Food,McDonald's Yass,"Large flat white; extra hot; soy milk",6.6,0.6,"Duplicate receipt marked; GST included in total"
28/08/2026,Food,McDonald's Walan Southbound,"Large flat white; extra hot; soy milk",6.25,0.57,"Duplicate receipt marked; GST included in total"
30/08/2026,Food,McDonald's Burwood,"Large flat white; soy milk",6.5,0.59,"Duplicate receipt marked; GST included in total"
02/09/2026,Food,Noodle World Prahran,Food,18.5,,"GST not separately shown"
02/09/2026,Food,Prahran Bakery,"Large coffee; almond oat soy; chicken",13.8,1.25,"GST shown separately"
03/09/2026,Food,"ANNA, 48h South Yarra","Capricciosa pizza",32,,"GST not separately shown"
04/09/2026,Food,Coles Supermarkets Australia Pty Ltd,"Farmers Union YOG 500g; bananas; stonebaked soy & lin; Venti Orig paper 60 pack; 100% recycle paper",16.52,0.3,"GST included in total"
05/09/2026,Food,Brown Rice,Purchase (cardholder receipt only),89.8,,"GST not separately shown"
06/09/2026,Food,Green Dragon Takeaway,"Tom Yum soup; prawn & vegetables; spicy pork dumplings",40,3.64,"GST shown separately"
06/09/2026,Food,Metro,"Full cream milk 1L; Vittoria Italian ground 500g; avocado Hass",20.85,,"GST not separately shown"
06/09/2026,Food,Stocked Food Store,"Quiche - individual; noodle salad medium",39.43,1.84,"GST shown separately"
07/09/2026,Food,Mrs Parks Kitchen,"Beef with mushrooms; sisig kampangan; jasmine rice",59.34,5.32,"GST shown separately"
08/09/2026,Food,"Fabio, 48h South Yarra",Maccheroncini alla Zozzona,39,,"GST not separately shown"
09/09/2026,Food,Woolworths Metro Hawthorn,"Onion; carrot; zucchini; mushrooms; chicken thigh fillet; paper bag; milk; leek; crushed garlic; pumpkin & sweet potato; cauliflower; corn; asparagus",42.28,0.05,"GST on taxable items stated"
10/09/2026,Postage,"Australia Post, Prahran Parcels","Padded Mailer Large; Express Post; Track Advice",18.2,1.65,"GST on postal taxable supply stated"
10/09/2026,Food,NGO 99 Butcher,"Miscellaneous weighed item, 1.392 kg at $26.99/kg",37.57,0,"Receipt states GST of $0.00"
12/09/2026,Food,"Eatsy, Ballarat Central","Mama Tom Yum; cashew nut; prawn; jasmine rice",62.7,5.7,"GST included in total"
14/09/2026,Food,Madam Saigon Baguette,"Purchase $11.00; card surcharge $0.18",11.18,,"GST not separately stated; surcharge included"
